lekid,x,y,area,per_miss,per_zero,mean_count,sd_count,min_count,max_count,len_road,mean_ppt,mean_sage,mean_herb,mean_nest
D-Alkali Draw,-1117043.743,2253178.233, D,46.875,50,34.52941176,17.5645867,0,67,172473.4006,24.829786,14.788114,15.868379,0.483723
D-Antelope Draw,-1154826.836,2281868.311, D,28.125,40.625,52.39130435,45.37894899,0,133,188797.2304,28.211111,16.452461,16.700729,0.525267
D-Bench Corral,-1148669.886,2278414.508, D,25,43.75,33.58333333,28.60969229,0,87,219940.504,25.044445,14.681479,13.769832,0.462984
D-Big John,-1099342.646,2250457.677, D,50,50,87.875,19.13417536,56,119,134197.2859,24.923913,14.481394,14.251309,0.43418
D-Big Sandy Flat,-1088257.187,2252134.34, D,25,90.625,0.875,2.997281377,0,14,185886.4289,25.606382,16.13099,17.036064,0.48739
D-Billie's Draw,-1152847.464,2275456.003, D,50,71.875,20.0625,24.59395251,0,73,171082.9078,26.457447,16.00901,13.365495,0.555352
D-Billy Canyon 1,-1146916.412,2270753.603, D,25,34.375,73.375,48.29331802,0,147,189887.6157,22.968084,14.370923,14.796944,0.36136
D-Billy Canyon 2,-1146968.442,2269171.775, D,25,65.625,5.625,9.379962455,0,34,181292.2345,22.548387,14.086408,16.238241,0.311374
D-Billy Canyon 3,-1151266.751,2272511.585, D,25,78.125,2.583333333,4.808657651,0,15,179297.3797,24.808509,14.375188,15.727209,0.433376
D-Billy Canyon 4,-1155218.458,2274439.724, D,25,34.375,73.08333333,57.23400985,0,228,157808.6275,26.644443,14.597011,15.753764,0.444758
D-Bloom Reservoir,-1128636.111,2270477.669, D,25,46.875,45.95833333,38.5931726,0,123,157267.1989,25.965909,14.267235,14.1271,0.418661
D-Blown-Out Reservoir,-1105736.825,2264955.824, D,46.875,53.125,119.5882353,62.76848216,0,216,144316.8754,25.074468,16.762596,14.050035,0.511067
D-Boulder Lake,-1108798.242,2283632.224, D,25,31.25,24.95833333,15.24432658,0,51,176697.4157,27.068181,14.627872,23.402507,0.318778
D-Brodie Burn,-1156703.133,2296171.109, D,68.75,84.375,3.1,5.130518709,0,16,209235.9789,29.784946,15.343363,23.433319,0.39888
D-Brodie Draw 1,-1155256.217,2293361.185, D,31.25,50,13.04545455,11.27777955,0,42,228487.0412,29.147727,16.033535,20.437274,0.450853
D-Brodie Draw 2,-1155738.79,2294814.174, D,31.25,50,11,11.26731472,0,43,226123.0083,29.48913,16.103559,21.238513,0.446245
D-Brodie Draw 3,-1155844.311,2296930.167, D,31.25,75,2.090909091,4.53461912,0,20,200104.5011,29.763441,14.96754,24.053413,0.425487
D-Burnt Lake Road,-1113904.545,2283038.363, D,50,75,7.25,9.808159868,0,28,224500.5279,25.623655,10.898572,24.8355,0.173724
D-Burt's Spring,-1105520.274,2278813.335, D,25,37.5,56,36.10612377,0,140,186949.0865,25.967391,14.608708,22.078428,0.375348
D-Calpet 2,-1164092.158,2249946.877, D,25,53.125,47.20833333,50.25930947,0,143,217737.3866,23.978494,12.473697,14.691397,0.271057
