Year,days,ID,region,sex,SVL,grate
2007,333,4415685726,Essex,f,1270.5,-0.3529412
2010,369,4940181800,Essex,m,857.75,1.17753623
2009,730,4962583337,Essex,m,1042,0.33955224
2007,357,133637351a,Essex,f,1070.5,0.64285714
2007,415,133768254a,Essex,f,915,0.81521739
2008,711,134713166a,Essex,m,816.25,0.85341365
2008,378,406f526a45,Essex,m,987,0.29931973
2007,368,41204a4150,Essex,m,708.75,1.14963504
2009,371,4415395f79,Essex,f,1121.25,0.23214286
2008,354,4415511a18,Essex,m,902.75,0.07723577
2009,749,442c4f2652,Essex,f,965.25,0.56620209
2008,383,442c71032f,Essex,f,770,1.13815789
2008,700,442d5a0d10,Essex,m,1213.75,0.11134454
2008,365,442d5b3232,Essex,f,696.25,0.66791045
2008,391,442e3a646a,Essex,f,863.25,0.878125
2007,368,442f3a790f,Essex,m,858.5,1.11678832
2008,689,44321a6e7f,Essex,m,1116.25,0.29735683
2008,719,4432326c0b,Essex,m,1099.5,0.26070039
2009,349,486b090664,Essex,f,939.25,-0.1398305
2009,366,486b0f426c,Essex,m,923.75,0.46296296
2009,353,4875176067,Essex,m,935,1.76229508
2010,720,48751b195d,Essex,m,961.5,0.32945736
2009,365,487520155e,Essex,f,939,1.04477612
2009,374,4875347d02,Essex,m,909.75,1.09440559
2009,359,48753e6c6f,Essex,f,1039.25,0.51171875
2009,366,4877296e3f,Essex,f,1056.5,0.71851852
2008,352,494066355a,Essex,m,994.75,0.2107438
2008,362,494a622e04,Essex,m,987.5,-0.1832061
2008,367,494b494d3e,Essex,m,1092,0.47058824
2008,367,494b597d2f,Essex,m,800.25,1.09926471
2009,771,494b6c135e,Essex,m,1005.5,0.41747573
2008,376,494d173b0e,Essex,m,1020.25,0.56896552
2010,680,494d1b6b52,Essex,m,977,0.38990826
2008,382,494d3c637c,Essex,f,1082.5,0.33112583
2008,362,494e64705c,Essex,f,1032.25,0.30534351
2009,742,494e7e7f4b,Essex,f,899.25,0.83035714
2009,354,494f153f04,Essex,f,1086,0.66666667
2007,116,494f381a66,Essex,f,1100,0.5
2008,346,4960776b3e,Essex,m,981.75,0.36086957
2009,780,49626a111c,Essex,f,820.75,0.9072327
2008,363,496276496a,Essex,m,1149.75,0.15530303
2009,735,4963095f6c,Essex,f,1084.5,0.19413919
2008,413,49662f6858,Essex,f,976.25,0.10164835
2009,370,496630072d,Essex,f,871.25,0.39928058
2010,329,9.85E+14,Essex,m,912,1.7755102
2007,362,4236562563,GBI,f,1296.25,0.25213675
2004,426,4237334109,GBI,f,1055,0.33149171
2004,357,0A00497627,GBI,m,1227.5,0.3125
2003,122,0A00501230,GBI,m,1040,0.98360656
2004,118,0A00501255,GBI,m,1207.5,0.46610169
2003,126,0A00501452,GBI,f,910,1.19047619
2004,360,0A00501537,GBI,f,1097.5,0.82608696
2004,142,0A00501617,GBI,f,1105,0.42253521
2004,350,0A00501749,GBI,m,1110,0.76190476
2005,735,0A00502047,GBI,f,1256.75,0.05510204
2004,357,0A00502054,GBI,f,1030,0.53571429
2003,126,0A00502261,GBI,f,1072.5,0.35714286
2003,124,0A00502534,GBI,f,1227.5,-0.6854839
2006,352,0A00502965,GBI,m,791.75,0.59345794
2004,129,0A00503563,GBI,m,1305,0.46511628
2004,358,0A00504011,GBI,f,892.5,0.84070796
2004,360,0A00505206,GBI,m,1280,0.43478261
2004,384,0A00505519,GBI,m,1007.5,-0.0359712
2004,361,0A00505523,GBI,m,1005,1.12068966
2004,430,0A00506705,GBI,f,1025,-0.7027027
2004,109,0A00506875,GBI,f,1162.5,1.14678899
2004,335,0A00506977,GBI,m,755,0.77777778
2004,361,0A00507046,GBI,m,1037.5,1.07758621
2004,362,0A00507174,GBI,m,1150,0.17094017
2004,362,0A00507545,GBI,f,992.5,0.81196581
2004,357,0A00507635,GBI,m,1187.5,0.3125
2006,358,0A00510004,GBI,f,1112,1.27433628
2004,351,0A00510448,GBI,f,1315,0.28301887
2004,363,0A00511229,GBI,m,867.5,0.12711864
2006,355,133534113A,GBI,f,882.25,1.04090909
2004,354,133536185A,GBI,f,860,0.91743119
2004,441,133562513A,GBI,m,1172.5,0.89285714
2005,358,133636351A,GBI,m,880,1.32743363
2004,357,133636637A,GBI,m,905,1.33928571
2004,122,133646456A,GBI,m,950,1.47540984
2005,372,133646550A,GBI,f,935,1.02362205
2006,595,133712183A,GBI,f,1023,2.05714286
2007,360,133712325A,GBI,f,975,0.8
2007,714,133722185A,GBI,m,1276.5,0.45982143
2006,591,133727291A,GBI,m,1147.5,0.64356436
2006,350,133727622A,GBI,f,1147.5,1.38095238
2007,714,133733321A,GBI,m,1127,0.28571429
2007,370,133928692A,GBI,f,1116.25,0.82
2006,718,133933265A,GBI,m,1061.25,0.66885965
2004,371,133937620A,GBI,m,1182.5,0.99206349
2007,368,133939515A,GBI,m,1105.75,0.2804878
2005,663,133947625A,GBI,m,1179,0.21965318
2006,603,133959573A,GBI,m,868.75,1.30530973
2006,601,133963170A,GBI,m,906.25,0.65315315
2007,364,134424357A,GBI,m,902,0.98319328
2006,351,134424691A,GBI,f,888.75,0.91981132
2007,368,134433333A,GBI,m,1232,1.02439024
2005,358,134433513A,GBI,f,1026.25,0.46460177
2005,362,134451110A,GBI,f,982.5,1.15384615
2006,357,134452650A,GBI,f,1071,0.19642857
2004,449,134453127A,GBI,f,1052.5,0.80882353
2007,711,134477157A,GBI,f,847.75,1.1561086
2005,365,134514766A,GBI,m,1135,0.58333333
2007,362,134544590A,GBI,f,1035.5,2.06837607
2006,353,134547286A,GBI,f,881.25,1.13425926
2007,713,134621756A,GBI,f,918.5,1.01793722
2006,356,134622146A,GBI,f,867.75,0.95045045
2006,361,134623683A,GBI,m,836.25,0.625
2004,360,134672532A,GBI,m,765,1.04347826
2005,359,134711513A,GBI,m,1132.5,0.57017544
2005,364,134722625A,GBI,f,1256.25,0.0210084
2005,611,134723686A,GBI,f,837.5,0.37190083
2006,360,134734757A,GBI,m,779,-0.0173913
2007,369,134739573A,GBI,m,1031.25,1.22983871
2004,140,134877374A,GBI,f,1257.5,0.10714286
2005,376,134911292A,GBI,m,980,1.06870229
2007,362,134932512A,GBI,m,933.25,0.86752137
2005,359,134969596A,GBI,f,1126.25,0.54824561
2004,117,134975250A,GBI,m,1045,1.28205128
2006,349,135112561A,GBI,m,955,0.28846154
2005,371,135113733A,GBI,m,775,0.87301587
2006,359,135116386A,GBI,m,1050.75,0.71491228
2005,627,135123232A,GBI,f,1125,0.2189781
2005,372,135135391A,GBI,f,1200.75,-0.1456693
2005,609,135139240A,GBI,m,938.75,0.73529412
2004,102,135148396A,GBI,f,1050,0.98039216
2006,347,140973295A,GBI,f,820,1.76470588
2004,125,142167366A,GBI,f,1255,-0.4
2007,366,142173731A,GBI,f,933.25,0.77272727
2007,367,142213737A,GBI,m,1126,-0.0245902
2005,374,142259370A,GBI,m,868.75,0.98837209
2005,372,142271115A,GBI,f,1104,0.2992126
2005,371,142424091A,GBI,m,1160,0.63492063
2005,358,142436726A,GBI,m,1037.5,1.01769912
2004,121,142455664A,GBI,m,965,0.99173554
2005,373,142456314A,GBI,m,1102.5,0.4296875
2006,610,142469153A,GBI,m,1017,1.2
2007,711,142717223A,GBI,f,858,1.70135747
2005,367,142733473A,GBI,m,1250,0.08196721
2005,376,142746712A,GBI,m,1226.25,0.40076336
2005,380,142752354A,GBI,m,1151.25,0.16666667
2005,370,142757090A,GBI,m,853.75,0.38
2005,363,142761486A,GBI,f,925,0.76271186
2004,125,142811155A,GBI,f,1070,1.04
2005,360,142811571A,GBI,m,909,1.2
2005,360,142812525A,GBI,f,872.25,0.73478261
2005,365,142821564A,GBI,f,1167.5,0.625
2005,380,142824143A,GBI,f,1092.5,-0.037037
2005,362,142824596A,GBI,m,1000,1.70940171
2005,358,142836186A,GBI,f,1035,1.23893805
2004,119,142847393A,GBI,f,845,1.51260504
2005,365,142874590A,GBI,m,1222.25,0.0375
2006,359,143311443A,GBI,f,1136.5,0.11403509
2006,345,143313221A,GBI,m,921.5,0.43
2006,356,143313347A,GBI,m,929.25,1.83333333
2006,350,143313447A,GBI,f,1028.75,0.83333333
2006,356,143314280A,GBI,f,880,1.89189189
2006,348,143318745A,GBI,f,804,1.24271845
2006,356,143322212A,GBI,f,871.5,0.92792793
2007,368,143325663A,GBI,m,1028,0.68292683
2006,349,143326522A,GBI,f,1080,-0.3846154
2006,340,143335127A,GBI,m,996.5,1.4
2006,359,143516370A,GBI,m,1313,-0.2105263
2006,359,143673591A,GBI,f,1128,0.05263158
2007,731,143676535A,GBI,m,1070.75,1.41701245
2007,714,143929331A,GBI,m,903.75,1.06026786
2007,722,143939574A,GBI,f,889.5,0.42672414
2006,358,143946371A,GBI,f,1091,0.10619469
2007,724,143949165A,GBI,m,1140.5,0.43162393
2006,361,143949765A,GBI,f,909.75,0.65086207
2006,350,144427510A,GBI,m,808,1.2
2006,340,144436197A,GBI,f,796.25,1.34210526
2007,710,144512364A,GBI,m,936,1.23636364
2006,346,144562122A,GBI,m,1125.5,0.40594059
2006,357,144566665A,GBI,f,1160.25,-0.1741071
2004,357,1F24452157,GBI,f,1290,0.53571429
2004,365,1F24454830,GBI,m,1357.5,-0.0416667
2006,365,4065632B0D,GBI,m,1270.5,-0.1583333
2004,114,4065664B6F,GBI,m,1200,0.61403509
2005,380,4066086B35,GBI,m,1287.5,0.62962963
2004,363,406970606C,GBI,f,1185,0.33898305
2004,361,406A086A40,GBI,m,1340,0.34482759
2004,368,422D4E4210,GBI,m,1267.5,0.28455285
2004,490,422D5F0A57,GBI,m,1237.5,0.10204082
2004,371,422E617156,GBI,m,992.5,0.5952381
2004,355,422E7B1E3B,GBI,f,1137.5,0.13636364
2004,363,422F001627,GBI,f,1162.5,0.12711864
2004,492,422F113F39,GBI,m,1240,0.16194332
2004,366,422F21065A,GBI,f,1222.5,-0.2892562
2004,492,423255254C,GBI,f,1105,0.4048583
2004,366,42334F2C11,GBI,f,882.5,1.03305785
2007,368,42335A0420,GBI,f,1404.25,0.78455285
2004,503,4235686D08,GBI,f,1102.5,0.21317829
2004,485,423654145A,GBI,f,1067.5,0.5625
2004,357,4237274C16,GBI,f,1270,0.44642857
2004,357,42374B797F,GBI,f,1225,0.53571429
2004,362,4237685A0F,GBI,m,1280,0
2004,350,43374A0D15,GBI,m,1327.5,0.42857143
2006,722,4337660C7A,GBI,f,1071.75,1.00646552
2007,365,44155F2B7A,GBI,f,821.25,0.5375
2007,360,44156F2C0C,GBI,f,846.25,1.09130435
2007,363,442C762B15,GBI,m,890.5,1.61864407
2007,366,442D3B012E,GBI,f,814.75,2.13636364
2007,359,442D480769,GBI,m,1007.5,1.35087719
2007,370,442D57417A,GBI,m,1207.5,0.216
2007,361,442F304213,GBI,m,820.5,0.81896552
2007,356,442F3E1B4D,GBI,m,869,1.42342342
