"lekid","x","y","man_area","per_miss","per_zero","mean_count","sd_count","min_count","max_count","mean_rugg","length_road","count_OG","mean_ppt","sd_ppt","mean_sb","sd_sb","mean_herb","sd_herb","mean_nest","sd_nest"
"D-Alkali Draw",-1117043.7426786,2253178.23276126," D",46.875,50,34.5294117647059,17.5645866983073,0,67,0.001439,172473.4006,294,24.829786,0.794104,14.788114,4.707441,15.868379,3.833674,0.483723,0.174958
"D-Antelope Draw",-1154826.83637635,2281868.31140599," D",28.125,40.625,52.3913043478261,45.3789489946353,0,133,0.005357,188797.2304,0,28.211111,1.12046,16.452461,6.958917,16.700729,12.847046,0.525267,0.272896
"D-Bench Corral",-1148669.88554087,2278414.50773598," D",25,43.75,33.5833333333333,28.609692286944,0,87,0.004399,219940.504,0,25.044445,1.074048,14.681479,5.75617,13.769832,6.35884,0.462984,0.202988
"D-Big John",-1099342.64649363,2250457.6770902," D",50,50,87.875,19.13417535894,56,119,0.000775,134197.2859,0,24.923913,0.494176,14.481394,4.286683,14.251309,4.319982,0.43418,0.161533
"D-Big Sandy Flat",-1088257.18702531,2252134.34048757," D",25,90.625,0.875,2.99728137687704,0,14,0.010846,185886.4289,0,25.606382,1.112961,16.13099,4.109689,17.036064,7.134394,0.48739,0.18277
"D-Billie's Draw",-1152847.46375529,2275456.00323098," D",50,71.875,20.0625,24.5939525086961,0,73,0.004207,171082.9078,0,26.457447,1.477957,16.00901,5.308862,13.365495,7.522078,0.555352,0.202962
"D-Billy Canyon 1",-1146916.41198179,2270753.60261558," D",25,34.375,73.375,48.2933180183076,0,147,0.002157,189887.6157,0,22.968084,1.004798,14.370923,4.911055,14.796944,4.928356,0.36136,0.205912
"D-Billy Canyon 2",-1146968.44244651,2269171.77527512," D",25,65.625,5.625,9.37996245473157,0,34,0.00203,181292.2345,0,22.548387,1.082769,14.086408,5.246679,16.238241,8.357219,0.311374,0.209906
"D-Billy Canyon 3",-1151266.75145698,2272511.58511462," D",25,78.125,2.58333333333333,4.8086576511327,0,15,0.003054,179297.3797,0,24.808509,1.482354,14.375188,5.793378,15.727209,10.391939,0.433376,0.23566
"D-Billy Canyon 4",-1155218.45839496,2274439.72385099," D",25,34.375,73.0833333333333,57.234009854788,0,228,0.004178,157808.6275,0,26.644443,1.899187,14.597011,6.732403,15.753764,11.69361,0.444758,0.275112
"D-Bloom Reservoir",-1128636.11089253,2270477.66904833," D",25,46.875,45.9583333333333,38.5931725958685,0,123,0.003638,157267.1989,18,25.965909,1.091796,14.267235,5.042615,14.1271,6.243776,0.418661,0.207384
"D-Blown-Out Reservoir",-1105736.82460851,2264955.82364735," D",46.875,53.125,119.588235294118,62.7684821621582,0,216,0.001188,144316.8754,0,25.074468,0.550422,16.762596,3.137411,14.050035,5.806224,0.511067,0.17428
"D-Boulder Lake",-1108798.2416278,2283632.22438228," D",25,31.25,24.9583333333333,15.2443265759306,0,51,0.009684,176697.4157,0,27.068181,1.643136,14.627872,5.983067,23.402507,10.748395,0.318778,0.222915
"D-Brodie Burn",-1156703.13314897,2296171.1085293," D",68.75,84.375,3.1,5.13051870888531,0,16,0.005306,209235.9789,0,29.784946,0.525673,15.343363,7.290393,23.433319,13.315421,0.39888,0.258502
"D-Brodie Draw 1",-1155256.21654777,2293361.18456094," D",31.25,50,13.0454545454545,11.277779554873,0,42,0.004914,228487.0412,0,29.147727,0.819364,16.033535,6.235666,20.437274,11.428889,0.450853,0.266171
"D-Brodie Draw 2",-1155738.78965474,2294814.17438707," D",31.25,50,11,11.2673147179078,0,43,0.005493,226123.0083,0,29.48913,0.667483,16.103559,6.472764,21.238513,11.72844,0.446245,0.257774
"D-Brodie Draw 3",-1155844.31139286,2296930.16686555," D",31.25,75,2.09090909090909,4.53461911992293,0,20,0.00541,200104.5011,0,29.763441,0.472873,14.96754,7.629218,24.053413,13.792407,0.425487,0.263625
"D-Burnt Lake Road",-1113904.54533299,2283038.36281409," D",50,75,7.25,9.80815986819138,0,28,0.004165,224500.5279,0,25.623655,0.890982,10.898572,7.487073,24.8355,15.128484,0.173724,0.191901
"D-Burt's Spring",-1105520.27376875,2278813.33544624," D",25,37.5,56,36.1061237730256,0,140,0.006908,186949.0865,0,25.967391,1.644827,14.608708,5.887884,22.078428,11.547372,0.375348,0.25922
"D-Calpet 2",-1164092.15774972,2249946.87696002," D",25,53.125,47.2083333333333,50.2593094700454,0,143,0.009023,217737.3866,208,23.978494,1.191172,12.473697,5.120618,14.691397,4.326774,0.271057,0.134031
"D-Calpet 8",-1166871.2857465,2253440.61409595," D",37.5,78.125,3.7,7.14584899747657,0,28,0.00843,179043.5732,37,24.488889,0.957362,10.529504,6.476052,20.806058,17.846349,0.185931,0.153731
"D-Cat",-1126467.15385832,2268783.35201552," D",37.5,62.5,10.15,12.9990890369085,0,39,0.003342,144825.8806,207,25,1.63733,13.686038,5.317562,14.723857,8.40012,0.370098,0.203709
"D-Chandler Brown",-1163232.04926736,2267803.5394479," D",25,31.25,20.2916666666667,12.3832957847559,0,45,0.00768,263420.3153,30,25.445652,1.254246,13.717487,6.293324,15.659131,10.310001,0.341166,0.200978
"D-Cora Butte",-1136509.57689771,2295499.13699807," D",25,43.75,28.4583333333333,22.4382808894835,0,68,0.004394,215789.017,0,27.488889,1.204108,13.978134,8.214524,20.605314,15.532417,0.256203,0.238594
"D-Cora Butte East",-1134381.78370538,2296217.02426879," D",53.125,81.25,3.66666666666667,5.71547606649408,0,18,0.004197,207825.0296,0,27.711111,1.127873,13.196667,8.439552,21.721736,16.17225,0.236148,0.246174
"D-Cora Butte Satellite",-1135683.70988547,2295447.99101551," D",50,84.375,2.0625,4.75350747694093,0,18,0.004398,214713.8032,0,27.48421,1.212766,14.067034,8.065788,19.695772,14.80012,0.255563,0.241464
"D-Cora Y",-1129364.23166496,2289989.60381265," D",46.875,90.625,2.41176470588235,6.23557158095202,0,24,0.00367,161556.1599,9,26.860214,0.57905,8.099119,8.056289,28.386022,19.913095,0.165129,0.206403
"D-Cottonwood Cutoff",-1162448.84125784,2283211.88809296," D",53.125,68.75,9.6,9.01427439437822,0,25,0.003431,190888.911,1,30.395605,0.590755,10.158281,10.114089,34.508632,19.822099,0.162261,0.234136
"D-Cut Across",-1155418.33509825,2292398.72244516," D",40.625,68.75,4.26315789473684,5.60597008418662,0,19,0.004301,222919.1736,0,28.943181,0.844204,15.031654,6.968183,22.10791,13.336183,0.402788,0.283924
"D-Cutoff",-1136946.69999993,2261089.46191746," D",25,34.375,21.3333333333333,12.1249533093379,0,40,0.003334,157377.1999,0,21.021505,0.816213,7.903469,5.984762,20.774738,15.092617,0.07002,0.094133
"D-Deer Hill",-1161135.94767187,2261371.54573378," D",25,34.375,12.125,8.30040596178493,0,28,0.005556,305063.1572,69,23.293478,1.078828,13.661376,6.251748,16.451263,10.767088,0.322677,0.195796
"D-Desert Reservoir",-1103461.04239199,2259247.26604," D",50,50,132,48.5345237949235,61,234,0.000876,151579.5485,0,25.386363,0.611105,16.296796,3.734345,14.531148,6.487775,0.534872,0.172431
"D-Fear Ditch",-1142650.92642103,2286570.13286116," D",71.875,71.875,32.1111111111111,9.53210947855254,18,43,0.004513,227064.6193,0,26.177778,0.81073,15.038258,4.965119,14.433003,6.579507,0.434256,0.203425
"D-Fear Ditch Res.",-1143681.32059729,2285991.57886079," D",62.5,71.875,15.1666666666667,12.6622799421484,0,33,0.004285,219907.0672,0,26.153846,0.810956,15.04514,4.947647,14.971597,7.678558,0.46349,0.190524
"D-Forty Rod",-1133599.82283167,2310080.04347278," D",50,53.125,72.4375,34.669811556069,0,127,0.003583,169550.3934,0,29,0,18.131319,7.714457,21.658971,11.558748,0.427346,0.329321
"D-Fremont Butte Well 2A",-1105381.87557811,2266662.05314235," D",34.375,59.375,11.047619047619,11.6080842109118,0,34,0.001602,147643.3456,0,24.851064,0.544946,16.008569,4.582688,15.397951,8.554875,0.457821,0.20837
"D-Fremont Butte Well 2B",-1106047.37072221,2267564.41737798," D",34.375,43.75,14.4761904761905,11.504864395633,0,44,0.002292,155754.518,0,24.734043,0.549187,16.239048,4.085336,14.959444,7.355887,0.429057,0.19839
"D-Fremont Butte Well 2C",-1106409.0373044,2265910.25294719," D",34.375,84.375,2.14285714285714,7.01630753520478,0,32,0.001242,142151.6377,0,24.989246,0.475069,16.874364,2.887443,13.646805,4.831548,0.496277,0.163146
"D-Goodwin",-1097164.07586925,2262125.51564473," D",68.75,68.75,32.3,8.65447860936752,14,40,0.001677,175784.4731,0,25.043478,0.62403,13.250779,6.604372,21.489765,13.643937,0.285444,0.226787
"D-Grindstone Draw",-1135960.00368684,2286514.76978617," D",71.875,71.875,28.5555555555556,8.00173592277187,12,38,0.003791,191793.8625,0,25.555555,0.857789,11.293001,7.532923,21.470466,16.090806,0.186963,0.172118
"D-Hole 2",-1102312.88344043,2249835.71536446," D",56.25,78.125,7.28571428571429,9.08446324927745,0,25,0.000952,125550.4223,0,25.076086,0.679413,15.320726,3.943033,14.838244,2.893399,0.461733,0.144096
"D-Johnson Ridge",-1166161.68001349,2263379.48724167," D",25,50,7.16666666666667,6.82493297732128,0,22,0.008214,266620.6548,43,25.75,0.916337,11.291659,7.299201,20.565923,16.848009,0.253175,0.211274
"D-Kitchen Reservoir",-1134579.69783008,2300120.6988901," D",65.625,65.625,105.727272727273,61.2112586197848,1,194,0.003899,215885.202,0,28.706521,0.455355,13.625196,8.615054,24.411743,16.423448,0.224761,0.243289
"D-Little Colorado Lek 1",-1145311.97069079,2226213.16379575," D",40.625,81.25,5.26315789473684,10.8517387509158,0,42,0.00529,154743.5877,44,23.32258,0.658464,13.245492,4.523134,16.7541,3.048604,0.321328,0.173181
